"Story","Title","Result","Date","Stability","Duration (s)"
"Login test","Valid login","SUCCESS","2021-05-09T18:43:59.9534969+03:00[Europe/Athens]","0.0","2.32"
"Login test","Invalid login","SUCCESS","2021-05-09T18:44:00.1164885+03:00[Europe/Athens]","0.0","1.74"
"Invalid login test","Invalid login","SUCCESS","2021-05-09T19:23:46.8997324+03:00[Europe/Athens]","0.0","2.14"
"Scenario test","Buy scenario","SUCCESS","2021-05-09T19:23:57.0695687+03:00[Europe/Athens]","0.0","6.26"
"Valid login test","Valid login","SUCCESS","2021-05-09T19:24:01.8269241+03:00[Europe/Athens]","0.0","1.96"
"Search by keyword story","Searching by keyword banana should display the corresponding article","FAILURE","2021-05-08T23:44:23.0384982+03:00[Europe/Athens]","0.0","13.39"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-05-08T23:44:36.5301342+03:00[Europe/Athens]","0.0","0.17"
"Search by keyword story","Searching by keyword apple should display the corresponding article","FAILURE","2021-05-08T23:44:37.1998398+03:00[Europe/Athens]","0.0","11.31"
"Login test","Login","SUCCESS","2021-05-09T00:13:04.9412405+03:00[Europe/Athens]","0.0","8.43"
"Login test","Login","FAILURE","2021-05-08T23:34:25.461401+03:00[Europe/Athens]","0.0","7.36"
